project_id,state,district,constituency,latitude,longitude,work_type,work_description,implementing_agency,sanctioned_amount,estimated_cost,revised_cost,expenditure,completion_percentage,expected_completion_percentage,sanction_date,expected_completion_date,actual_completion_date,number_of_payments,amount_last_payment,project_status,beneficiary_count
MPL-260000,Maharashtra,Pune,Pune Parliamentary Constituency,18.51264,73.75051,Road,"Construction of cement concrete link road in Ward 1, Pune",Water Board,13429615.8,13300000.0,27176862.14,11355855.04,27.4,97.0,2025-11-14,2025-10-31,,21,3275430.42,Delayed,7647
MPL-260001,Maharashtra,Nagpur,Nagpur Parliamentary Constituency,21.17167,79.18823,Education,"Additional classrooms and sanitation block at government school in Ward 2, Nagpur",Municipal Corporation,2812126.71,2600000.0,5119569.97,2599741.49,30.3,91.5,2025-09-17,2025-09-04,,11,433655.17,Delayed,15963
MPL-260002,Uttar Pradesh,Lucknow,Lucknow Parliamentary Constituency,26.756,80.94327,Water Supply,"Piped drinking water system with overhead tank in Ward 3, Lucknow",District Rural Development Agency,9122051.06,9000000.0,20091178.03,8602428.82,26.2,86.8,2025-07-10,2025-08-25,,12,1472047.47,Delayed,4695
MPL-260003,Uttar Pradesh,Varanasi,Varanasi Parliamentary Constituency,25.37578,82.94888,Health,"Upgrade of primary health centre and equipment in Ward 4, Varanasi",Municipal Corporation,1690533.43,1600000.0,2916397.3,1434161.77,24.2,96.5,2025-01-30,2026-04-20,,16,324601.07,Delayed,12644
MPL-260004,Rajasthan,Jaipur,Jaipur Parliamentary Constituency,26.95535,75.8006,Community Hall,"Construction of multipurpose community hall in Ward 5, Jaipur",Water Board,15319312.21,14700000.0,28845190.15,13787152.8,22.0,91.4,2025-09-05,2026-01-07,,12,1214819.19,Delayed,16986
MPL-260005,Rajasthan,Udaipur,Udaipur Parliamentary Constituency,24.68367,73.61141,Solar Lighting,"Installation of solar street lighting in Ward 6, Udaipur",Water Board,1360929.05,1300000.0,2283352.86,1336964.32,27.7,82.3,2024-10-02,2026-02-13,,13,134140.34,Delayed,3142
MPL-260006,Tamil Nadu,Chennai,Chennai Parliamentary Constituency,13.0614,80.23817,Drainage,"Storm water drain and culvert improvement in Ward 7, Chennai",Municipal Corporation,13549316.7,13100000.0,29383291.42,12726612.25,22.2,90.5,2024-09-20,2025-08-26,,19,2619436.04,Delayed,12179
MPL-260007,Tamil Nadu,Madurai,Madurai Parliamentary Constituency,9.86588,78.08109,Sports,"Development of public sports ground in Ward 8, Madurai",Municipal Corporation,8457114.14,8000000.0,17019891.4,8404271.21,32.4,83.2,2025-04-28,2025-11-26,,17,1313513.5,Delayed,9377
MPL-260008,Karnataka,Bengaluru Urban,Bengaluru Urban Parliamentary Constituency,13.1832,77.59535,Road,"Construction of cement concrete link road in Ward 9, Bengaluru Urban",Municipal Corporation,18378367.34,17100000.0,31863632.22,16071390.69,38.6,84.5,2025-02-24,2025-11-26,,11,1642261.82,Delayed,14123
MPL-260009,Karnataka,Mysuru,Mysuru Parliamentary Constituency,12.22343,76.70916,Education,"Additional classrooms and sanitation block at government school in Ward 10, Mysuru",District Education Office,17256868.55,16100000.0,30637793.66,16369034.76,31.4,96.6,2025-01-28,2025-11-18,,14,3819175.8,Delayed,17049
MPL-260010,West Bengal,Kolkata,Kolkata Parliamentary Constituency,22.58528,88.36134,Water Supply,"Piped drinking water system with overhead tank in Ward 11, Kolkata",District Rural Development Agency,15156872.61,13800000.0,30432017.46,13557703.21,33.5,91.9,2024-08-26,2026-04-20,,16,1692820.69,Delayed,10130
